id;type;title;description;town;zone;price;surface;rooms;bathrooms;floor;longitude;latitude;url;exact_position;recently_date;is_promo;image_url;owner_name;old_price
8429908584.100500;Piso ;Piso en Plaça Major;Plaza mayor, excelente ubicación en pleno centro histórico de palma a tan solo unos minutos de la catedral, plaza españa y las ram...;Distrito Centre. Palma de Mallorca;La Missió;235.000 €;;1 hab.;1 baño;3ª planta;2.652239944;39.570839586;/comprar/piso-la_missio07003-8429908584_100500/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/1005/994/1005_106787612994_1_2021102917103427690.jpg;Inmovisa Inmobiliaria;
5044175916.521019;Piso ;Piso en La Seu-Monti-Sion-Puerto;"Se vende explendida planta baja de 210 metros cuadrados a tan solo tres minutos del centro de palma.
 La vivienda esta totalmente ...";Distrito Centre. Palma de Mallorca;La Seu-Monti-sion-Puerto;390.000 €;220 m²;4 habs.;3 baños;Bajo;2.6631376;39.5716576;/comprar/piso-la_seu_monti_sion_puerto07006-5044175916_521019/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/521019/5044175916.521019/521019_5044175916_1_20200611135836904.jpg;InmoAs;
93346444270.101800;Ático ;Ático en Centre - La Seu - Cort - Monti-Sión;Ático en centro histórico, salón comedor, cocina amueblada, 1 habitación doble, armario, 1 baño, suelos de parquet, carpinteria in...;Distrito Centre. Palma de Mallorca;La Seu-Monti-sion-Puerto;385.000 €;;1 hab.;1 baño;60 m²;2.6498806;39.5679904;/comprar/atico-la_seu_monti_sion_puerto07001-93346444270_101800/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/1018/518/1018_17051518_1_2021092913092131354.jpg;BALEAR INVEST;
85923112501.109300;Ático ;Ático en Sant Nicolau;Plaza mayor .-  inmejorable ubicación.  Atico de 140 m/2 de vivienda y 18 m/2 de terraza.  Gran salón comedor con terraza hacia la...;Distrito Centre. Palma de Mallorca;Sant Nicolau;950.000 €;;3 habs.;2 baños;158 m²;2.652239944;39.570839586;/comprar/atico-sant_nicolau07002-85923112501_109300/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/1093/448/1093_EP91-XP-448_1_2018071011425431250.jpg;C.I.S.A. INMOBILIARIA;
16717260643.100500;Ático ;Ático en Carrer del Sindicat;Fantástico ático en sindicato con terraza comunitaria de uso privativo.  Barrio de calles peatonales con numerosos comercios.  Ide...;Distrito Centre. Palma de Mallorca;Sindicat;545.000 €;140 m²;2 habs.;2 baños;4ª planta;2.6540522;39.5714954;/comprar/atico-sindicat07002-16717260643_100500/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/1005/994/1005_130195912994_1_2021102912104387966.jpg;Inmovisa Inmobiliaria;
14191801221.100500;Piso ;Piso en Sant Nicolau;"Piso con encanto en el borne, una de las zonas más demandadas de palma de mallorca. 
 
 La propiedad se ubica justo en la calle un...";Distrito Centre. Palma de Mallorca;Sant Nicolau;350.000 €;;2 habs.;2 baños;2ª planta;2.6483501;39.5715841;/comprar/piso-sant_nicolau07001-14191801221_100500/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/1005/074/1005_121597727074_1_2021052623052653890.jpg;RED Real Estate Disruptive;
18381799489.100500;Piso ;Piso en calle Carrer Bernat de Buadella;Se vende piso en pleno centro. Junto a jaime iii, nos encontramos con todos los servicios como, tiendas, restaurantes, colegios, z...;Distrito Centre. Palma de Mallorca;Jaume III;460.000 €;141 m²;3 habs.;2 baños;2ª planta;2.6431829;39.5726426;/comprar/piso-jaume_iii-18381799489_100500/;False;Hace 1 mes;;https://fotos.imghs.net/mm/1005/960/1005_3273960_1_2021100309100853035.jpg;CHERRY HOUSE INVEST;
15884393752.100500;Piso ;Piso en Carrer dels Oms;Si quieres vivir en una vivienda con carácter  en pleno centro de la ciudad, ésta es tu oportunidad. Olmos, calle peatonal con tod...;Distrito Centre. Palma de Mallorca;Plaça dels Patins;260.000 €;;4 habs.;1 baño;2ª planta;2.649781;39.5749978;/comprar/piso-placa_dels_patins07003-15884393752_100500/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/1005/994/1005_126035872994_1_2021102917102924768.jpg;Inmovisa Inmobiliaria;
15908004973.519789;Piso ;Piso en Carrer de Cerdà;Altura piso 1º, piso superficie total 120 m², superficie útil 120 m², habitaciones dobles: 2, 1 baño, aire acondicionado (frío y c...;Distrito Centre. Palma de Mallorca;La Seu-Monti-sion-Puerto;599.000 €;120 m²;2 habs.;1 baño;1ª planta;2.6383761;39.5706573;/comprar/piso-la_seu_monti_sion_puerto07013-15908004973_519789/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/519789/15908004973.519789/519789_15908004973_9_20210707224809668.jpg;SANDBERG ESTATES;
18369463178.106700;Casa adosada ;Casa adosada en Son Rapinya;Mallorca es conocida por su impresionante belleza y entorno natural. Conocida por sus bienes culturales y patrimoniales. Es un des...;Distrito Centre. Palma de Mallorca;Cort;620.000 €;;4 habs.;3 baños;181 m²;2.651245;39.5699322;/comprar/casa_adosada-cort07001-18369463178_106700/;False;Hace 1 semana;;https://fotos.imghs.net/mm/1067/852/1067_IFC76129-0518998852_1_2021102010225931250.jpg;SKY SOLUTIONS;
